"","V162345","V162346","V162349","V162350","V162211","V162213","V162214","V162212","prejudice","deserve","tryhard","descrimination","lazy","peaceful"
"1",4,7,2,6,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,3,4
"2",4,5,5,5,"3. Neither agree nor disagree","4. Disagree somewhat","3. Neither agree nor disagree","2. Agree somewhat",3,4,3,2,1,0
"3",4,3,4,6,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,-1,2
"4",4,4,4,5,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",2,4,2,4,0,1
"5",4,4,4,4,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree",2,4,3,3,0,0
"6",NA,NA,NA,NA,"2. Agree somewhat","3. Neither agree nor disagree",NA,"5. Disagree strongly",2,3,NA,5,NA,NA
"7",2,5,1,4,"1. Agree strongly","3. Neither agree nor disagree","1. Agree strongly","2. Agree somewhat",1,3,1,2,3,3
"8",2,2,2,5,"4. Disagree somewhat","5. Disagree strongly","2. Agree somewhat","5. Disagree strongly",4,5,2,5,0,3
"9",2,6,2,7,"2. Agree somewhat","4. Disagree somewhat","1. Agree strongly","4. Disagree somewhat",2,4,1,4,4,5
"10",4,4,4,4,"3. Neither agree nor disagree","2. Agree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree",3,2,3,3,0,0
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,4,5,5,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",4,2,4,2,0,0
"14",3,3,2,4,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","5. Disagree strongly",2,4,3,5,0,2
"15",4,4,4,4,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",4,2,5,1,0,0
"16",3,4,4,3,"2. Agree somewhat","5. Disagree strongly","5. Disagree strongly","3. Neither agree nor disagree",2,5,5,3,1,-1
"17",3,4,3,4,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",4,2,4,2,1,1
"18",2,2,2,2,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",2,4,2,4,0,0
"19",4,4,5,5,"5. Disagree strongly","2. Agree somewhat","4. Disagree somewhat","1. Agree strongly",5,2,4,1,0,0
"20",4,4,3,4,"2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat","4. Disagree somewhat",2,3,2,4,0,1
"21",4,5,3,5,"1. Agree strongly","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",1,4,2,4,1,2
"22",2,5,2,5,"1. Agree strongly","3. Neither agree nor disagree","2. Agree somewhat","4. Disagree somewhat",1,3,2,4,3,3
"23",3,4,5,6,"2. Agree somewhat","3. Neither agree nor disagree","4. Disagree somewhat","2. Agree somewhat",2,3,4,2,1,1
"24",3,4,2,3,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","3. Neither agree nor disagree",2,4,2,3,1,1
"25",3,3,2,2,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","2. Agree somewhat",2,4,2,2,0,0
"26",2,4,4,4,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,2,0
"27",3,3,4,4,"1. Agree strongly","4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly",1,4,2,5,0,0
"28",2,3,3,5,"4. Disagree somewhat","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",4,4,2,4,1,2
"29",2,1,4,3,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,-1,-1
"30",3,5,3,6,"1. Agree strongly","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",1,4,2,4,2,3
"31",2,5,6,5,"2. Agree somewhat","4. Disagree somewhat","4. Disagree somewhat","2. Agree somewhat",2,4,4,2,3,-1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
