id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
1,1,3,1,3,3,3
2,1,3,1,3,3,1
3,3,3,1,3,3,3
4,3,3,3,3,3,3
5,1,3,3,3,3,3
6,1,3,2,2,3,3
7,1,1,1,3,1,1
8,1,3,3,1,3,3
9,3,3,1,3,3,3
10,1,1,3,3,1,3
11,3,3,1,3,3,3
12,1,1,3,3,1,2
13,1,1,2,3,1,3
14,1,1,3,3,3,3
15,3,3,3,3,3,3
16,1,3,3,3,1,3
17,1,3,1,3,2,3
18,1,3,1,3,3,3
19,3,3,2,3,1,3
20,1,1,3,1,1,3
21,1,1,3,3,3,3
22,1,1,3,1,3,1
23,2,2,2,2,1,2
24,2,2,2,2,3,3
25,3,3,3,3,3,3
26,1,1,3,1,2,2
27,1,1,1,1,1,3
28,2,3,3,3,2,2
29,1,3,1,3,3,3
30,3,3,3,3,3,3
31,3,3,1,3,3,3
32,1,3,3,3,1,3
33,3,3,3,3,3,3
34,1,3,3,3,3,3
35,1,3,1,3,3,3
36,3,3,1,3,3,3
37,1,3,1,3,1,1
38,1,3,1,3,2,3
39,2,3,2,3,3,3
40,1,3,3,3,3,3
41,1,3,1,3,1,3
42,3,2,3,2,3,3
43,1,3,1,3,1,3
44,3,3,1,3,3,3
45,3,3,3,3,3,3
46,3,3,1,3,3,3
47,3,3,1,3,1,3
48,1,3,3,1,3,3
49,3,3,1,3,3,3
50,3,2,2,3,2,3
51,3,3,2,3,3,3
52,1,1,1,3,2,3
53,1,3,1,3,3,3
54,1,3,1,3,3,3
55,3,3,3,3,3,3
56,1,3,3,3,3,3
57,3,3,1,3,3,3
58,3,3,3,3,3,3
59,3,3,3,3,3,3
60,1,1,1,3,1,3
61,1,3,3,3,2,3
62,1,1,3,3,3,1
63,3,3,1,3,3,3
64,1,1,3,3,3,3
65,3,3,1,3,3,3
66,1,3,1,3,3,3
67,1,1,3,3,1,3
68,3,3,3,3,3,3
69,1,3,3,3,3,3
70,3,3,3,3,3,3
71,1,1,3,1,1,1
72,3,3,2,3,3,3
73,1,1,3,2,1,2
74,1,3,1,3,3,3
75,1,3,3,3,3,3
76,1,1,3,1,2,1
77,3,3,2,3,3,3
78,1,1,3,1,1,1
79,1,3,3,3,3,3
80,3,3,3,3,3,3
81,1,1,3,3,2,2
82,1,1,3,1,1,1
83,1,1,3,3,3,3
84,1,1,1,3,1,3
85,1,1,3,3,1,3
86,3,1,3,1,3,3
87,3,3,3,3,3,3
88,1,3,1,3,3,3
89,3,3,1,3,3,3
90,2,2,2,3,2,3
91,1,2,2,2,1,3
92,1,1,3,2,1,3
93,2,3,2,3,2,3
94,3,3,3,1,1,1
95,1,1,3,3,1,1
96,2,2,3,3,3,3
97,1,1,3,3,3,3
98,3,3,3,3,3,3
99,1,1,1,3,3,1
100,3,3,1,3,3,3
101,1,1,3,3,3,1
102,3,3,1,3,3,3
103,1,1,3,3,1,3
104,1,3,3,3,3,3
105,3,3,3,3,3,3
106,3,3,1,3,2,3
107,2,3,1,1,3,3
108,1,1,3,3,1,3
109,2,2,2,3,3,1
110,3,3,1,3,3,3
111,3,3,1,3,3,3
112,3,3,1,3,3,3
113,1,3,1,3,3,3
114,1,1,3,3,2,3
115,3,3,3,3,3,3
116,3,3,1,3,3,3
117,2,3,1,3,3,3
118,3,3,3,3,3,3
119,3,3,1,3,3,3
120,3,3,3,3,1,3
121,1,1,3,1,3,3
122,3,3,3,3,3,3
123,3,3,2,3,3,3
124,1,1,3,2,1,3
125,1,1,1,3,3,2
126,1,3,3,3,3,3
127,3,3,1,3,3,3
128,3,3,3,3,3,3
129,3,3,3,3,2,3
130,1,3,3,3,3,3
131,1,3,2,3,3,3
132,3,3,1,3,3,3
133,3,3,3,3,3,3
134,1,1,1,3,3,3
135,3,3,3,3,1,3
136,1,3,1,3,3,3
137,3,3,1,3,3,3
138,1,3,3,1,2,3
139,3,3,3,3,3,3
140,3,1,1,1,3,3
141,1,1,3,1,1,1
142,1,3,2,3,3,3
143,1,2,2,2,3,2
144,3,3,3,3,1,3
145,1,2,3,3,2,2
146,3,3,2,3,3,3
147,3,3,2,3,3,3
148,1,1,3,1,1,1
149,1,1,3,3,3,3
150,3,3,1,3,3,3
151,2,3,2,1,1,3
152,1,3,3,2,3,3
153,3,3,1,3,3,3
154,3,3,3,3,3,3
155,3,3,1,3,3,3
156,2,2,2,3,3,3
157,3,3,3,1,1,3
158,1,1,1,3,3,3
159,1,1,3,3,3,3
160,1,1,3,3,3,3
161,1,3,3,3,1,2
162,1,3,1,2,1,3
163,2,3,1,3,3,3
164,2,2,2,3,2,3
165,3,3,3,3,2,3
166,1,1,3,3,1,1
167,1,1,3,1,1,1
168,1,1,3,3,2,3
169,3,3,1,3,3,3
170,2,3,2,2,1,3
171,3,1,3,3,3,3
172,3,3,1,3,3,3
173,3,3,3,3,3,3
174,1,1,3,1,1,1
175,3,3,3,3,2,3
176,1,1,3,1,1,1
177,1,1,3,2,3,1
178,3,3,2,3,3,3
179,1,3,3,3,3,3
180,3,3,3,3,3,3
181,1,2,1,3,3,3
182,1,3,3,3,2,3
183,3,3,3,1,3,3
184,3,3,3,3,3,3
185,3,3,1,3,3,3
186,1,3,1,3,3,3
187,3,3,1,3,3,3
188,1,1,3,3,1,3
189,1,1,3,3,3,3
190,1,3,3,1,2,3
191,1,3,3,3,2,3
192,2,2,3,2,2,3
193,3,3,3,1,3,3
194,1,3,3,3,3,3
195,3,3,1,3,3,3
196,3,3,3,3,3,3
197,3,3,1,2,3,3
198,2,2,2,2,3,3
199,3,3,1,3,3,3
200,3,3,1,3,3,3
201,3,3,1,3,3,3
202,1,1,1,1,2,1
203,3,3,3,3,3,3
204,3,3,3,3,3,3
205,1,3,1,3,3,3
206,3,3,1,3,3,3
207,1,1,1,3,3,2
208,3,3,3,3,1,3
209,2,2,1,1,3,3
210,1,3,3,3,2,3
211,3,3,1,3,3,3
212,3,1,1,3,3,3
213,3,3,1,3,3,3
214,2,2,2,2,2,2
215,1,3,1,3,3,3
216,1,1,3,1,1,1
217,3,3,3,3,3,3
218,3,3,3,3,3,3
219,1,1,3,3,1,3
220,3,3,1,3,3,3
221,3,3,1,3,3,3
222,3,3,3,3,2,3
223,1,3,3,3,2,3
224,1,1,1,1,1,3
225,3,3,1,3,3,3
226,1,1,3,3,2,3
227,3,3,3,3,2,3
228,3,3,1,3,3,3
229,3,3,3,3,1,3
230,3,2,3,3,3,3
231,3,3,1,3,3,3
232,1,1,3,3,3,3
233,1,3,3,1,1,3
234,1,1,3,3,2,3
235,1,1,1,2,2,3
236,3,3,1,3,3,3
237,3,3,1,3,3,3
238,3,3,3,3,2,3
239,1,1,1,3,2,3
240,1,3,1,3,1,3
241,3,3,3,3,3,3
242,3,3,3,3,3,3
243,3,3,1,2,3,3
244,1,3,3,3,1,1
245,1,1,1,1,1,3
246,3,3,3,3,3,3
247,3,3,3,3,3,3
248,3,3,1,3,3,3
249,2,3,3,3,3,3
250,1,3,1,3,1,3
251,1,3,1,3,3,3
252,3,3,3,3,3,3
253,1,1,3,1,1,3
254,3,3,3,3,3,3
255,1,1,3,3,3,2
256,3,3,1,3,3,3
257,1,1,3,1,1,1
258,3,3,3,3,3,3
259,3,3,3,3,3,3
260,1,1,3,3,1,3
261,3,3,1,3,2,3
262,1,1,3,1,3,3
263,1,3,3,1,1,1
264,3,3,1,3,3,3
265,1,1,3,1,1,1
266,3,3,1,3,3,3
267,3,3,1,3,2,3
268,3,3,1,3,3,3
269,1,1,3,1,2,1
270,3,3,2,3,3,3
271,2,3,1,3,2,3
272,1,3,1,3,3,3
273,1,3,3,1,3,3
274,1,1,1,3,3,3
275,3,3,3,3,3,3
276,3,3,3,3,2,3
277,1,3,3,3,1,2
278,1,1,3,3,1,3
279,1,1,3,3,1,3
280,2,3,3,3,3,3
281,3,3,3,3,3,3
282,1,1,1,3,1,2
283,3,3,3,3,3,3
284,1,3,3,3,1,3
285,1,3,3,3,2,3
286,1,1,3,3,3,3
287,1,1,3,3,1,1
288,3,3,3,3,3,3
289,3,3,3,2,1,1
290,1,3,3,3,3,3
291,3,3,1,3,3,3
292,3,3,1,3,3,3
293,1,3,3,3,3,3
294,1,1,3,3,1,3
295,3,3,1,3,3,3
296,3,3,3,3,3,3
297,3,3,3,3,2,3
298,1,1,3,3,2,3
299,3,3,3,3,3,3
300,3,3,3,3,3,3
301,1,3,1,3,3,3
302,1,3,1,3,3,3
303,3,3,3,3,3,3
